date,mem_util_percent,net_in,net_out,disk_io_percent,OT
11020,74,32.62,23.2,3,28
11050,74,32.63,23.2,2,29
11140,76,32.63,23.2,11,24
11370,73,32.63,23.2,2,22
11400,74,32.63,23.2,2,28
11680,69,32.64,23.21,3,23
11780,69,32.64,23.21,4,22
11850,69,32.64,23.21,2,25
11920,69,32.64,23.21,2,18
11980,72,32.64,23.21,3,22
12080,72,32.64,23.21,2,25
12120,72,32.64,23.21,2,27
12350,76,32.65,23.21,4,34
12500,75,32.65,23.21,6,31
12580,74,32.65,23.21,4,27
12600,73,32.65,23.21,5,27
12870,71,32.66,23.22,3,19
12930,71,32.66,23.22,2,30
12970,71,32.66,23.22,4,31
12990,71,32.66,23.22,4,30
13120,71,32.66,23.22,1,21
13140,71,32.66,23.22,2,25
13300,74,32.66,23.22,3,39
13320,74,32.66,23.22,3,37
13350,75,32.66,23.22,3,31
13480,75,32.66,23.22,2,27
13690,75,32.67,23.22,2,33
13710,76,32.67,23.22,2,32
13760,74,32.67,23.22,2,28
14140,76,32.68,23.22,6,27
14760,75,32.69,23.23,4,36
14830,74,32.69,23.23,6,35
14950,76,32.69,23.23,3,34
15200,77,32.7,23.24,2,36
15270,78,32.7,23.24,2,32
15370,78,32.7,23.24,6,33
15450,78,32.7,23.24,3,34
15510,78,32.7,23.24,3,31
15600,77,32.71,23.24,7,29
15640,79,32.71,23.24,7,39
15660,79,32.71,23.24,7,30
15690,79,32.71,23.24,7,34
15890,77,32.71,23.24,7,23
15990,76,32.71,23.24,5,22
16030,76,32.71,23.24,4,24
16110,76,32.71,23.24,3,21
16150,77,32.71,23.24,1,24
16260,79,32.72,23.25,5,28
16400,77,32.72,23.25,3,24
16460,76,32.72,23.25,2,21
22220,83,32.83,23.31,6,43
22360,87,32.83,23.31,4,68
22670,88,32.85,23.32,9,78
22710,87,32.85,23.32,6,77
22900,87,32.86,23.32,6,74
22950,88,32.86,23.32,6,71
23420,87,32.87,23.33,5,51
23500,85,32.87,23.33,8,51
23580,85,32.88,23.33,9,54
23690,85,32.88,23.33,9,54
23720,87,32.88,23.33,8,57
24000,87,32.89,23.33,8,51
24100,87,32.89,23.33,15,52
24380,84,32.9,23.34,13,42
24420,85,32.9,23.34,5,40
24540,85,32.9,23.34,9,43
24590,86,32.9,23.34,9,61
24710,87,32.91,23.34,11,48
24920,84,32.91,23.35,6,39
25040,82,32.92,23.35,8,44
25060,83,32.92,23.35,8,44
25160,81,32.92,23.35,13,38
25230,80,32.92,23.35,9,45
25300,83,32.92,23.35,4,58
25390,84,32.92,23.35,7,53
25410,84,32.92,23.36,7,53
25510,83,32.93,23.36,9,48
25520,83,32.93,23.36,9,43
25530,84,32.93,23.36,9,44
25560,84,32.93,23.36,10,46
25580,83,32.93,23.36,10,52
25840,84,32.94,23.37,11,54
25870,85,32.94,23.37,10,64
25920,85,32.94,23.37,9,63
25950,84,32.94,23.37,9,64
26150,87,32.94,23.37,9,48
26670,87,32.95,23.38,3,37
26730,89,32.95,23.38,7,50
26760,89,32.96,23.38,4,46
26780,89,32.96,23.38,4,43
26800,90,32.96,23.38,4,45
26890,89,32.96,23.38,3,47
27020,87,32.96,23.39,3,45
27060,86,32.97,23.39,4,42
27870,82,32.99,23.41,5,31
28040,83,32.99,23.41,6,39
28150,83,32.99,23.41,9,34
28340,83,33,23.41,6,34
28430,83,33,23.41,5,30
28470,83,33,23.41,7,34
28580,82,33,23.41,5,33
28670,83,33,23.42,4,31
28690,84,33,23.42,2,34
28830,86,33,23.42,4,42
28890,87,33.01,23.42,9,49
28940,86,33.01,23.42,5,45
29010,84,33.01,23.42,7,44
29140,79,33.01,23.42,7,42
29460,79,33.02,23.42,3,30
29510,78,33.02,23.42,3,26
29620,78,33.02,23.43,2,47
29960,80,33.02,23.43,5,44
29970,80,33.02,23.43,5,42
30120,79,33.03,23.43,3,35
30270,82,33.03,23.43,6,43
30330,81,33.03,23.43,12,40
30340,81,33.03,23.43,12,40
30390,80,33.03,23.43,12,33
30450,79,33.03,23.43,11,40
30470,80,33.03,23.43,11,49
30570,82,33.03,23.44,4,32
30620,82,33.03,23.44,3,32
30640,81,33.03,23.44,3,30
30740,78,33.03,23.44,4,22
30900,77,33.03,23.44,3,22
31020,78,33.04,23.44,2,29
31090,78,33.04,23.44,2,30
31380,78,33.04,23.44,2,28
31450,79,33.04,23.44,1,44
31510,79,33.04,23.45,1,36
31530,79,33.04,23.45,1,34
31610,80,33.04,23.45,1,28
31620,80,33.04,23.45,5,30
31910,79,33.04,23.45,1,30
32010,79,33.04,23.45,3,29
32020,79,33.04,23.45,3,27
32070,80,33.05,23.45,2,29
32080,80,33.05,23.45,2,30
32370,80,33.05,23.45,1,24
32380,79,33.05,23.45,1,24
32480,80,33.05,23.46,4,38
32600,75,33.05,23.46,4,17
32620,75,33.05,23.46,4,18
32660,76,33.05,23.46,2,26
32680,76,33.05,23.46,2,28
32780,77,33.05,23.46,1,22
32790,76,33.05,23.46,1,19
32850,77,33.05,23.46,2,18
33220,78,33.06,23.46,3,32
33250,77,33.06,23.46,2,28
33270,77,33.06,23.46,2,27
33280,76,33.06,23.46,2,24
33410,76,33.06,23.46,2,22
33440,75,33.06,23.46,3,20
33990,77,33.06,23.47,1,25
34170,79,33.07,23.47,2,28
34200,79,33.07,23.47,5,27
34310,77,33.07,23.47,5,24
34340,78,33.07,23.47,3,24
34440,77,33.07,23.47,1,25
34460,78,33.07,23.47,1,27
34470,78,33.07,23.47,1,26
34490,78,33.07,23.47,1,27
34530,78,33.07,23.47,3,31
34640,79,33.07,23.48,1,25
34930,79,33.08,23.48,3,36
35150,80,33.09,23.48,4,32
35250,81,33.09,23.48,3,44
35410,82,33.09,23.49,2,38
35450,82,33.09,23.49,2,35
40040,82,33.19,23.54,3,31
40110,81,33.19,23.54,1,23
40170,81,33.19,23.54,1,23
40180,81,33.19,23.54,1,24
40390,81,33.2,23.54,1,25
40520,80,33.2,23.55,2,24
40590,80,33.2,23.55,2,25
40850,83,33.2,23.55,1,42
40990,83,33.21,23.55,3,27
41000,83,33.21,23.55,3,29
41040,83,33.21,23.55,2,24
41070,84,33.21,23.55,2,27
41120,84,33.21,23.55,2,30
41130,84,33.21,23.55,2,27
41250,84,33.21,23.56,3,35
41460,83,33.21,23.56,2,26
41530,82,33.21,23.56,2,24
41540,82,33.21,23.56,2,24
41640,84,33.21,23.56,4,33
41670,83,33.21,23.56,4,34
43390,84,33.23,23.57,6,51
43630,84,33.23,23.58,4,23
43720,83,33.24,23.58,3,23
44430,82,33.24,23.58,3,28
44480,83,33.24,23.58,2,26
44510,83,33.24,23.58,2,28
44650,83,33.25,23.59,2,22
44790,82,33.25,23.59,2,22
44840,81,33.25,23.59,2,15
45000,83,33.25,23.59,2,20
45090,84,33.25,23.59,3,20
45100,82,33.25,23.59,3,17
45180,83,33.25,23.59,3,17
45330,82,33.25,23.59,1,14
45340,82,33.25,23.59,1,14
45350,82,33.25,23.59,1,19
45380,82,33.25,23.59,1,18
45400,82,33.26,23.59,1,18
47460,87,33.28,23.61,1,28
47530,89,33.28,23.61,4,32
47600,87,33.28,23.61,1,34
47660,86,33.28,23.61,2,26
47690,87,33.28,23.61,2,32
47700,87,33.28,23.61,4,30
47710,87,33.28,23.61,4,31
47720,87,33.28,23.61,4,28
56700,87,33.4,23.7,5,25
56740,88,33.4,23.7,5,44
56770,88,33.4,23.7,5,35
56780,88,33.4,23.7,5,31
56870,87,33.4,23.7,5,25
56880,87,33.4,23.7,4,25
56930,88,33.4,23.7,4,29
56950,88,33.4,23.7,4,35
56990,89,33.4,23.7,4,33
57090,90,33.4,23.7,4,49
57100,91,33.4,23.7,4,48
57170,91,33.41,23.7,6,40
57210,90,33.41,23.7,7,40
57230,88,33.41,23.7,7,37
57280,87,33.41,23.7,4,41
57400,85,33.41,23.71,2,25
57420,86,33.41,23.71,2,22
57490,85,33.41,23.71,2,24
57620,86,33.41,23.71,4,25
57740,87,33.41,23.71,4,39
57920,87,33.41,23.71,2,29
58050,88,33.42,23.71,4,30
58200,90,33.42,23.71,4,33
58240,90,33.42,23.71,4,32
58280,90,33.42,23.71,6,35
58320,88,33.42,23.71,6,26
58340,89,33.42,23.71,6,26
58590,89,33.42,23.72,5,32
58630,89,33.43,23.72,6,30
58640,89,33.43,23.72,6,38
58660,88,33.43,23.72,6,41
58770,89,33.43,23.72,5,28
58800,89,33.43,23.72,3,27
58860,87,33.43,23.72,5,25
58870,88,33.43,23.72,5,25
59070,89,33.43,23.72,5,35
59240,88,33.44,23.73,3,32
59850,90,33.45,23.73,3,35
60000,88,33.45,23.73,3,20
60140,89,33.45,23.73,5,30
60180,89,33.45,23.73,4,25
60410,86,33.45,23.74,2,20
60480,86,33.45,23.74,5,16
60620,87,33.46,23.74,4,20
60650,88,33.46,23.74,4,27
60700,87,33.46,23.74,4,22
61000,86,33.46,23.74,2,21
61090,87,33.46,23.74,2,27
61130,87,33.46,23.74,2,24
61230,88,33.46,23.74,5,33
61480,90,33.47,23.74,4,29
61500,89,33.47,23.74,4,25
61570,89,33.47,23.74,8,39
61580,88,33.47,23.74,8,38
61620,89,33.47,23.74,8,41
66480,88,33.52,23.78,2,18
66600,89,33.52,23.78,2,20
66820,88,33.52,23.78,1,16
66870,88,33.52,23.78,2,17
66960,88,33.52,23.78,3,15
67080,88,33.52,23.78,2,24
76030,89,33.6,23.83,2,24
76050,88,33.6,23.83,2,23
76090,88,33.6,23.83,3,26
76150,88,33.6,23.83,2,24
76270,88,33.6,23.83,1,24
76290,88,33.6,23.83,1,27
76300,88,33.6,23.83,1,22
76330,88,33.6,23.83,2,24
76620,87,33.6,23.83,2,18
76860,89,33.6,23.83,2,28
76870,88,33.6,23.83,2,24
77050,89,33.61,23.83,1,25
77080,88,33.61,23.83,1,28
77220,88,33.61,23.83,2,21
77310,88,33.61,23.83,2,17
77360,88,33.61,23.83,2,18
77590,89,33.61,23.84,2,24
77610,88,33.61,23.84,2,21
77640,88,33.61,23.84,1,24
77700,88,33.61,23.84,2,15
77710,88,33.61,23.84,2,23
77770,88,33.61,23.84,2,18
77790,88,33.61,23.84,2,15
77920,88,33.61,23.84,2,16
78050,88,33.61,23.84,2,26
78060,88,33.61,23.84,2,19
78100,88,33.61,23.84,2,22
78130,88,33.61,23.84,2,17
79490,88,33.63,23.85,6,46
79570,85,33.63,23.85,1,49
79660,84,33.63,23.85,4,23
79840,84,33.63,23.85,2,25
80010,85,33.63,23.85,1,18
80030,85,33.63,23.85,1,19
80290,83,33.63,23.85,2,18
80360,83,33.63,23.85,1,21
80420,83,33.63,23.85,1,17
80450,83,33.63,23.85,1,19
80520,83,33.63,23.85,1,22
80610,83,33.63,23.85,2,22
80640,83,33.63,23.85,2,20
80680,84,33.63,23.85,2,19
80710,83,33.63,23.85,1,21
80790,83,33.63,23.85,1,20
80880,82,33.63,23.85,1,16
80980,83,33.64,23.85,1,22
81000,83,33.64,23.85,1,25
81120,83,33.64,23.85,3,14
81130,83,33.64,23.85,3,22
81650,83,33.64,23.85,1,18
81750,83,33.64,23.85,1,14
81780,83,33.64,23.85,1,15
81850,83,33.64,23.86,1,17
81860,83,33.64,23.86,1,19
81870,83,33.64,23.86,1,10
81890,83,33.64,23.86,1,12
82060,83,33.64,23.86,2,18
82110,83,33.64,23.86,1,17
82390,83,33.64,23.86,1,15
82490,84,33.64,23.86,1,22
82500,84,33.64,23.86,1,19
82550,84,33.64,23.86,1,19
82650,85,33.64,23.86,1,21
82680,86,33.64,23.86,1,29
82710,85,33.64,23.86,1,20
84420,81,33.66,23.87,3,21
84680,83,33.66,23.87,5,27
84830,81,33.66,23.87,3,18
85200,80,33.67,23.87,1,15
85210,80,33.67,23.87,1,20
85220,80,33.67,23.87,1,18
85270,81,33.67,23.87,2,19
85650,82,33.67,23.87,46,18
85660,83,33.67,23.87,46,20
85730,82,33.67,23.87,2,18
86040,79,33.67,23.88,1,11
86160,80,33.67,23.88,1,14
86440,80,33.67,23.88,1,18
86510,81,33.68,23.88,2,19
86610,82,33.68,23.88,1,18
86620,81,33.68,23.88,1,16
86640,81,33.68,23.88,1,14
86760,82,33.68,23.88,1,24
86920,87,33.68,23.88,3,43
86930,87,33.68,23.88,3,45
86940,87,33.68,23.88,7,43
87020,85,33.68,23.88,4,33
87320,86,33.68,23.88,4,30
87390,83,33.69,23.88,3,28
87560,88,33.69,23.89,4,34
87600,90,33.69,23.89,10,37
87840,85,33.69,23.89,3,25
88090,89,33.7,23.89,1,23
88110,89,33.7,23.89,1,21
88190,84,33.7,23.89,1,22
88210,84,33.7,23.89,3,21
88220,83,33.7,23.89,3,20
88330,81,33.7,23.89,5,17
88420,81,33.7,23.89,25,17
88480,81,33.7,23.89,6,16
88580,81,33.7,23.89,1,15
88910,84,33.7,23.89,2,24
89000,84,33.7,23.9,1,23
89220,83,33.7,23.9,3,17
89350,84,33.71,23.9,3,36
89410,84,33.71,23.9,11,37
89440,84,33.71,23.9,11,23
89490,85,33.71,23.9,2,28
89510,84,33.71,23.9,2,23
89720,83,33.71,23.9,6,24
89730,83,33.71,23.9,6,25
89790,84,33.71,23.9,4,28
89860,85,33.71,23.9,4,23
89870,85,33.72,23.9,4,21
89950,87,33.72,23.9,6,28
90000,87,33.72,23.9,3,27
90010,88,33.72,23.9,3,28
90130,89,33.72,23.9,6,42
90230,90,33.72,23.91,8,37
90290,87,33.72,23.91,3,30
90340,86,33.72,23.91,3,30
90400,84,33.72,23.91,3,25
90470,82,33.72,23.91,3,24
90570,82,33.72,23.91,1,30
90740,83,33.73,23.91,1,21
90750,83,33.73,23.91,1,23
90790,84,33.73,23.91,2,25
90820,84,33.73,23.91,2,40
90840,84,33.73,23.91,4,26
90870,85,33.73,23.91,4,34
90940,85,33.73,23.91,2,31
91010,86,33.73,23.91,1,32
91040,87,33.73,23.91,3,49
91110,89,33.73,23.91,3,32
91160,89,33.73,23.91,4,34
91240,88,33.73,23.91,4,31
91570,85,33.74,23.92,1,23
91700,84,33.74,23.92,1,27
91750,84,33.74,23.92,2,26
91780,85,33.74,23.92,2,25
91840,86,33.74,23.92,6,29
91990,87,33.74,23.92,3,36
92000,87,33.74,23.92,3,37
92020,87,33.74,23.92,3,33
92030,88,33.74,23.92,3,33
92040,88,33.74,23.92,3,32
92190,90,33.74,23.92,2,45
92230,88,33.75,23.92,2,40
92240,87,33.75,23.92,2,36
92400,88,33.75,23.93,5,39
92490,87,33.75,23.93,8,39
92760,83,33.75,23.93,4,30
92820,83,33.75,23.93,3,26
92870,83,33.76,23.93,3,25
92910,84,33.76,23.93,2,26
92960,84,33.76,23.93,2,26
92970,85,33.76,23.93,2,28
93000,83,33.76,23.93,2,28
93090,81,33.76,23.93,2,27
93100,82,33.76,23.93,2,30
93160,82,33.76,23.93,3,27
93320,83,33.76,23.94,1,30
93350,83,33.76,23.94,1,29
93620,81,33.77,23.94,2,34
93690,81,33.77,23.94,6,32
93810,80,33.77,23.94,2,29
93950,82,33.78,23.94,1,30
94030,81,33.78,23.94,2,30
94090,82,33.78,23.94,1,31
94100,82,33.78,23.94,1,32
94270,81,33.78,23.94,4,42
94310,80,33.78,23.95,4,29
94380,81,33.78,23.95,5,63
94510,85,33.79,23.95,5,43
94570,86,33.79,23.95,2,38
94700,86,33.79,23.95,5,37
94770,84,33.79,23.95,4,29
94900,86,33.79,23.95,6,50
95170,88,33.8,23.96,4,35
95180,88,33.8,23.96,4,38
95220,87,33.8,23.96,5,37
95320,87,33.8,23.96,13,31
95350,88,33.8,23.96,5,32
95410,88,33.8,23.96,5,40
95610,86,33.81,23.96,2,33
95700,85,33.81,23.96,2,35
95800,86,33.81,23.96,2,34
96310,86,33.82,23.97,6,38
96320,86,33.82,23.97,6,34
96330,83,33.82,23.97,6,33
96410,83,33.82,23.97,2,35
96420,83,33.82,23.97,5,32
96430,84,33.82,23.97,5,38
96660,86,33.83,23.97,4,34
96780,81,33.83,23.97,5,25
96860,81,33.83,23.97,5,28
96990,83,33.83,23.98,3,25
97050,84,33.83,23.98,3,27
97120,83,33.84,23.98,4,26
97180,84,33.84,23.98,1,34
97250,86,33.84,23.98,3,35
97320,83,33.84,23.98,4,30
97500,86,33.84,23.98,10,40
97650,86,33.85,23.98,2,47
97750,86,33.85,23.99,6,47
97800,86,33.85,23.99,6,48
97840,87,33.85,23.99,6,43
97890,88,33.85,23.99,5,49
98210,85,33.86,23.99,4,35
98350,83,33.87,23.99,3,37
98510,83,33.88,23.99,3,27
98600,83,33.88,24,3,26
98650,82,33.88,24,4,25
98820,86,33.88,24,7,41
98860,88,33.88,24,7,45
98880,87,33.88,24,8,38
98920,87,33.88,24,8,42
98940,88,33.88,24,6,44
98960,88,33.88,24,6,39
99040,89,33.89,24,9,37
99110,89,33.89,24,7,39
99330,87,33.89,24,3,29
99450,88,33.89,24,2,26
99500,88,33.89,24,3,31
99520,88,33.9,24.01,3,29
99560,86,33.9,24.01,6,26
99570,86,33.9,24.01,6,27
99660,84,33.9,24.01,7,24
99670,83,33.9,24.01,7,28
99800,84,33.9,24.01,5,30
99840,85,33.9,24.01,3,30
99940,88,33.9,24.01,3,38
99950,87,33.9,24.01,3,35
99960,86,33.9,24.01,6,34
100120,85,33.91,24.01,3,28
100150,85,33.91,24.01,2,26
100360,87,33.91,24.01,4,35
100420,85,33.91,24.01,3,28
100460,85,33.91,24.01,4,28
100540,85,33.91,24.01,3,27
100630,83,33.92,24.01,5,27
100640,83,33.92,24.01,5,25
100790,84,33.92,24.02,3,30
100890,87,33.92,24.02,7,36
101060,86,33.93,24.02,4,31
101190,87,33.93,24.02,8,39
101240,88,33.93,24.02,6,33
101300,88,33.93,24.02,4,36
101350,87,33.93,24.02,4,35
101420,87,33.93,24.02,5,33
101690,86,33.94,24.03,6,28
101770,84,33.94,24.03,8,32
101820,85,33.94,24.03,4,38
102000,85,33.95,24.03,5,25
102090,86,33.95,24.03,3,28
102100,87,33.95,24.03,3,29
102210,85,33.95,24.03,5,26
102220,85,33.95,24.03,5,24
102240,85,33.95,24.03,4,24
102380,86,33.95,24.04,3,27
102410,86,33.95,24.04,3,24
102560,87,33.96,24.04,5,39
102600,87,33.96,24.04,3,29
102770,88,33.96,24.04,4,33
102780,87,33.96,24.04,5,35
102790,88,33.96,24.04,5,34
102800,87,33.96,24.04,5,33
102880,87,33.96,24.04,5,32
102900,88,33.96,24.04,6,35
102910,88,33.96,24.04,6,38
102990,88,33.96,24.04,5,33
103000,88,33.97,24.04,5,34
103090,87,33.97,24.04,4,26
103120,87,33.97,24.04,4,29
103270,87,33.97,24.04,2,32
103480,89,33.97,24.05,6,52
103490,87,33.97,24.05,6,54
103680,86,33.98,24.05,4,45
103720,86,33.98,24.05,4,50
103750,86,33.98,24.05,9,44
103950,85,33.98,24.06,2,28
104020,84,33.99,24.06,4,31
104110,85,33.99,24.06,3,38
104160,85,33.99,24.06,2,34
104290,87,33.99,24.06,2,31
104360,84,33.99,24.06,4,33
104580,87,33.99,24.06,5,36
104840,88,34,24.07,6,39
104910,87,34,24.07,4,37
104920,88,34,24.07,4,40
104990,87,34,24.07,6,39
105090,88,34,24.07,6,43
105140,89,34.01,24.07,5,40
105240,90,34.01,24.07,6,41
105390,83,34.01,24.07,4,38
105580,84,34.02,24.08,6,46
105730,81,34.02,24.08,7,36
105740,81,34.02,24.08,7,28
105820,82,34.02,24.08,3,28
105860,82,34.02,24.08,3,23
105890,82,34.02,24.08,3,29
106170,85,34.03,24.08,5,40
106280,82,34.03,24.08,7,30
106310,82,34.03,24.08,7,26
106420,87,34.03,24.08,5,47
106660,85,34.04,24.09,14,45
106690,85,34.04,24.09,11,46
106720,87,34.04,24.09,11,54
106750,89,34.04,24.09,8,56
106800,91,34.05,24.09,16,54
106860,89,34.05,24.09,26,50
106880,88,34.05,24.09,26,47
107140,85,34.05,24.1,6,52
107170,87,34.05,24.1,6,57
107420,88,34.06,24.1,5,55
107480,89,34.06,24.1,6,56
107680,84,34.06,24.1,6,37
107780,84,34.06,24.1,5,48
107890,84,34.07,24.1,4,39
107960,88,34.07,24.11,7,70
107970,88,34.07,24.11,7,72
107990,88,34.07,24.11,7,70
108070,88,34.07,24.11,5,73
108100,88,34.08,24.11,5,75
108150,88,34.08,24.11,7,66
108170,88,34.08,24.11,7,70
108320,91,34.09,24.11,7,71
108460,93,34.09,24.11,5,76
108680,88,34.1,24.12,8,63
108750,85,34.1,24.12,7,56
108820,86,34.11,24.12,6,50
108950,87,34.11,24.12,4,69
109070,88,34.11,24.12,10,66
109290,85,34.12,24.13,5,48
109300,85,34.12,24.13,5,49
109330,85,34.12,24.13,9,48
109510,87,34.12,24.13,5,50
109610,86,34.13,24.13,8,55
109710,88,34.13,24.13,5,56
109780,90,34.13,24.13,6,54
109810,89,34.13,24.14,8,58
109850,90,34.13,24.14,8,57
109870,89,34.13,24.14,9,57
109930,86,34.13,24.14,5,49
110110,84,34.14,24.14,7,49
110160,85,34.14,24.14,5,53
110180,85,34.14,24.14,5,49
111740,89,34.18,24.17,10,60
111780,88,34.19,24.17,6,52
111960,89,34.19,24.17,12,51
112010,90,34.19,24.18,12,50
112150,92,34.2,24.18,6,49
112170,92,34.2,24.18,6,52
112290,86,34.2,24.18,9,39
112350,87,34.2,24.18,8,55
112700,84,34.21,24.19,8,48
112780,88,34.21,24.19,7,45
112790,87,34.21,24.19,7,43
112900,87,34.21,24.19,6,47
113010,85,34.22,24.19,5,38
113100,82,34.22,24.2,1,30
113190,82,34.22,24.2,4,33
113400,81,34.22,24.2,3,31
113410,82,34.22,24.2,3,34
113450,82,34.22,24.2,3,30
113520,81,34.22,24.2,3,26
113570,82,34.22,24.2,3,31
113960,91,34.23,24.21,3,48
114000,86,34.23,24.21,3,49
114060,85,34.24,24.21,7,51
114150,88,34.24,24.21,3,50
114170,88,34.24,24.21,3,45
114190,88,34.24,24.22,8,49
114210,88,34.24,24.22,8,51
114360,80,34.24,24.22,8,38
114540,80,34.25,24.22,5,43
114590,82,34.25,24.22,5,44
114670,81,34.25,24.22,5,66
114690,81,34.25,24.22,5,62
115090,86,34.26,24.23,5,52
115130,84,34.26,24.23,5,54
115240,87,34.26,24.23,2,49
115350,86,34.27,24.24,4,53
115490,85,34.27,24.24,4,49
115540,84,34.27,24.24,5,46
115720,82,34.28,24.24,4,39
115740,82,34.28,24.24,8,36
115770,82,34.28,24.24,8,38
115850,82,34.28,24.24,5,54
115900,81,34.28,24.24,5,36
116240,82,34.29,24.25,3,50
116310,83,34.29,24.25,3,41
116420,85,34.29,24.25,4,43
116460,86,34.29,24.25,4,43
116480,86,34.29,24.25,4,42
116520,83,34.29,24.25,7,51
116540,83,34.29,24.25,7,48
116610,84,34.29,24.25,3,37
116650,85,34.29,24.25,2,38
116770,83,34.3,24.26,1,46
116780,84,34.3,24.26,1,45
116960,86,34.3,24.26,3,44
117270,81,34.3,24.26,5,34
117280,80,34.3,24.26,5,32
117360,80,34.31,24.26,7,35
117440,80,34.31,24.27,5,33
117540,80,34.31,24.27,6,40
117720,81,34.31,24.27,3,41
117960,80,34.32,24.27,2,31
118060,79,34.32,24.27,5,28
118100,79,34.32,24.27,4,31
118110,80,34.32,24.27,4,30
118190,80,34.32,24.28,3,32
118210,79,34.32,24.28,4,31
118530,81,34.32,24.28,2,39
118560,82,34.32,24.28,2,39
118750,84,34.33,24.28,5,37
118780,84,34.33,24.28,5,34
118810,83,34.33,24.28,4,36
118880,86,34.33,24.28,5,60
118900,87,34.33,24.28,5,56
118980,87,34.33,24.28,7,53
119020,89,34.33,24.28,7,47
119050,89,34.33,24.28,7,50
119180,87,34.34,24.29,5,45
119210,86,34.34,24.29,5,50
119250,86,34.34,24.29,7,47
119380,86,34.34,24.29,10,58
119440,86,34.35,24.29,8,43
119450,87,34.35,24.29,8,42
119570,86,34.35,24.29,9,49
119650,85,34.35,24.29,9,45
119710,86,34.35,24.3,6,46
123050,84,34.41,24.34,5,56
123220,82,34.42,24.34,4,30
123310,82,34.42,24.34,2,36
123330,82,34.42,24.34,2,27
123430,83,34.42,24.34,3,30
123510,82,34.43,24.34,5,29
